series,time_ms,force_N,velocity_m_s,hardness_N_mm_p,p,epsilon,tau_us
N14,1.8367385,4.88519,2.0,8800.0,3.95,0.992,2.0
N14,1.8594084999999998,4.70374,2.0,8800.0,3.95,0.992,2.0
A3 hard,0.0,0.00635792,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.022675700000000003,0.0957533,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.04535139999999999,0.418609,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.0680275,1.13238,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.0907025,2.37481,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.1133785,4.23023,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.1360545,6.69309,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.1587305,9.64868,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.1814055,12.8909,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.2040815,16.178,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.22675749999999997,19.2981,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.24943349999999997,22.1089,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.2721085,24.5407,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.2947845,26.5771,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.3174605,28.2337,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.3401365,29.5424,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.3628115,30.541,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.38548750000000004,31.2682,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.40816349999999996,31.7605,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.43083849999999996,32.051,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.45351450000000004,32.1691,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.4761904999999999,32.1405,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.4988665,31.9877,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.5215415,31.7301,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.5442175,31.3844,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.5668935,30.9651,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.5895695000000001,30.4846,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.6122445,29.9539,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.6349205,29.3819,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.6575965,28.7771,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.6802725000000001,28.1458,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.7029475000000001,27.495,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.7256235000000001,26.8281,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.7482995000000001,26.1524,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.7709755,25.4675,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.7936505,24.7833,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.8163265000000001,24.0925,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.8390025,23.4131,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.8616775,22.7234,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.8843535,22.0619,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.9070295,21.3739,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.9297055000000001,20.7464,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.9523805000000001,20.0506,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.9750585,19.483,2.0,32000.0,4.0,0.997,1.0
A3 hard,0.9977285,18.7521,2.0,32000.0,4.0,0.997,1.0
A3 hard,1.0204085,18.2919,2.0,32000.0,4.0,0.997,1.0
A3 hard,1.0430884999999999,17.466,2.0,32000.0,4.0,0.997,1.0
A3 hard,1.0657584999999998,17.2016,2.0,32000.0,4.0,0.997,1.0
A3 hard,1.0884384999999999,16.1648,2.0,32000.0,4.0,0.997,1.0
