group,label,hardness,p,epsilon,tau0,velocity,log_file,nonfinite_output,Fmax_N,t_peak_s,peak_position_ratio,contact_span_s,contact_duration_s,half_max_duration_s,rise_time_s,fall_time_s,rise_fall_ratio,impulse_Ns,loading_impulse_fraction,unloading_impulse_fraction,force_centroid_ratio,sample_count,max_rise_slope,max_fall_slope,contact_event_count,error
a1_hardness_speed,a1_k_1200,1200,2.4,0.51,0.0004,4.0,083_a1_hardness_speed_a1_k_1200_v4.txt,False,102.119,0.000181406,0.07500006201564062,0.0018140584999999999,0.0015646228,0.00043083899999999997,0.0001360545,0.0016780039999999999,0.08108115356101654,0.0598293093677935,0.14194861258861813,0.8580513874113819,0.2744551239985875,81,1162135.4642112176,-172715.6464985005,1,
a1_hardness_speed,a1_k_1200,1200,2.4,0.51,0.0004,6.0,084_a1_hardness_speed_a1_k_1200_v6.txt,False,159.398,0.00015873,0.06249991386716581,0.0018140584999999999,0.0015419485,0.00040816310000000005,0.00011337849999999999,0.00170068,0.06666656866665098,0.089288133633777,0.13645455050331542,0.8635454494966844,0.2645293477398419,81,2398404.4593992694,-284277.8390297681,1,
a1_hardness_speed,a1_k_1600,1600,2.4,0.51,0.0004,0.5,085_a1_hardness_speed_a1_k_1600_v0.5.txt,False,9.77085,0.000453515,0.21951254928650699,0.0018594084999999998,0.0017913809999999999,0.000680272,0.00040816349999999997,0.0014512449999999999,0.28125058139735193,0.00782823803271557,0.27809929664534894,0.7219007033546511,0.3647757990407942,83,40493.054024255725,-12442.229670135823,1,
a1_hardness_speed,a1_k_1600,1600,2.4,0.51,0.0004,1.0,086_a1_hardness_speed_a1_k_1600_v1.txt,False,21.8756,0.000340136,0.16049345075523813,0.0018367385,0.0017006770999999999,0.000566893,0.0002947845,0.0015419540000000001,0.1911759365065365,0.015312047856061651,0.24708348440009062,0.7529165155999092,0.31956606090538237,82,129583.25983418598,-31539.954136532124,1,
a1_hardness_speed,a1_k_1600,1600,2.4,0.51,0.0004,2.0,087_a1_hardness_speed_a1_k_1600_v2.txt,False,48.1249,0.000226757,0.09999980706245142,0.0018140584999999999,0.0016099728,0.00047619099999999994,0.0001814055,0.001632653,0.11111087291665774,0.03014007773152005,0.1674771232355238,0.8325228767644762,0.2902485426809452,81,415444.3219404628,-76883.0481566414,1,
a1_hardness_speed,a1_k_1600,1600,2.4,0.51,0.0004,4.0,088_a1_hardness_speed_a1_k_1600_v4.txt,False,104.262,0.00015873,0.06249991386716581,0.0018140584999999999,0.0015419528,0.00043083909999999995,0.00011337849999999999,0.00170068,0.06666656866665098,0.059669139065813004,0.12058420883493877,0.8794157911650611,0.26910771933006705,81,1352416.9044395548,-181169.51843358594,1,
a1_hardness_speed,a1_k_1600,1600,2.4,0.51,0.0004,6.0,089_a1_hardness_speed_a1_k_1600_v6.txt,False,163.446,0.000136054,0.049999765718691,0.0018140584999999999,0.0015419485,0.0003854871,9.070250000000001e-05,0.0017233559999999999,0.05263131935595432,0.08908003907260001,0.11050492346582093,0.889495076534179,0.26040019623403454,81,2722451.787596415,-296833.6567295819,1,
a1_hardness_speed,a1_k_2400,2400,2.4,0.51,0.0004,0.5,090_a1_hardness_speed_a1_k_2400_v0.5.txt,False,10.2639,0.000408163,0.19753029622888615,0.0018367385,0.0017687071,0.0006349200000000001,0.0003628115,0.001473927,0.2461529641562981,0.00774302206843002,0.27391990383414583,0.7260800961658542,0.345470753615011,82,49511.81866290353,-13817.251719880083,1,
a1_hardness_speed,a1_k_2400,2400,2.4,0.51,0.0004,1.0,091_a1_hardness_speed_a1_k_2400_v1.txt,False,22.8253,0.000294785,0.13580240192057821,0.0018367385,0.0016780028,0.0005215420000000001,0.0002494335,0.0015873050000000002,0.15714276714305062,0.015207988261448301,0.2226043946930231,0.7773956053069769,0.30450893394513445,82,158109.89592520738,-34415.24078320699,1,
a1_hardness_speed,a1_k_2400,2400,2.4,0.51,0.0004,2.0,092_a1_hardness_speed_a1_k_2400_v2.txt,False,49.9301,0.000204082,0.08750021016411544,0.0018140584999999999,0.0015873028,0.00045351399999999997,0.0001587305,0.001655328,0.0958906633609774,0.0299994408280215,0.16118240586687624,0.8388175941331236,0.2803002518856077,81,518343.1013269477,-82663.72657111332,1,
