time,force
1.0234,2.13746
1.02342,2.17192
1.02345,2.20683
1.02347,2.24218
1.02349,2.27798
1.02351,2.31424
1.02354,2.35096
1.02356,2.38815
1.02358,2.42581
1.02361,2.46394
1.02363,2.50256
1.02365,2.54165
1.02367,2.58124
1.0237,2.62131
1.02372,2.66189
1.02374,2.70296
1.02376,2.74455
1.02379,2.78664
1.02381,2.82925
1.02383,2.87238
1.02385,2.91604
1.02388,2.96022
1.0239,3.00494
1.02392,3.0502
1.02395,3.09601
1.02397,3.14237
1.02399,3.18928
1.02401,3.23674
1.02404,3.28478
1.02406,3.33338
1.02408,3.38256
1.0241,3.43231
1.02413,3.48265
1.02415,3.53359
1.02417,3.58511
1.0242,3.63724
1.02422,3.68997
1.02424,3.74331
1.02426,3.79727
1.02429,3.85184
1.02431,3.90705
1.02433,3.96288
1.02435,4.01936
1.02438,4.07647
1.0244,4.13423
1.02442,4.19265
1.02444,4.25172
1.02447,4.31146
1.02449,4.37187
1.02451,4.43296
1.02454,4.49472
1.02456,4.55717
1.02458,4.62032
1.0246,4.68416
1.02463,4.74871
1.02465,4.81396
1.02467,4.87993
1.02469,4.94663
1.02472,5.01404
1.02474,5.0822
1.02476,5.15109
1.02478,5.22072
1.02481,5.29111
1.02483,5.36225
1.02485,5.43415
1.02488,5.50683
1.0249,5.58027
1.02492,5.6545
1.02494,5.72952
1.02497,5.80533
1.02499,5.88193
1.02501,5.95935
1.02503,6.03757
1.02506,6.11662
1.02508,6.19648
1.0251,6.27718
1.02512,6.35872
1.02515,6.44109
1.02517,6.52432
1.02519,6.60841
1.02522,6.69335
1.02524,6.77917
1.02526,6.86586
1.02528,6.95344
1.02531,7.0419
1.02533,7.13126
1.02535,7.22152
1.02537,7.31269
1.0254,7.40478
1.02542,7.49778
1.02544,7.59172
1.02546,7.68659
1.02549,7.78241
1.02551,7.87917
1.02553,7.9769
1.02556,8.07558
1.02558,8.17524
1.0256,8.27587
1.02562,8.37749
1.02565,8.4801
1.02567,8.5837
1.02569,8.68831
1.02571,8.79394
1.02574,8.90058
1.02576,9.00825
1.02578,9.11696
1.0258,9.22671
1.02583,9.3375
1.02585,9.44935
1.02587,9.56226
1.0259,9.67625
1.02592,9.79131
1.02594,9.90745
1.02596,10.0247
1.02599,10.143
1.02601,10.2625
1.02603,10.383
1.02605,10.5047
1.02608,10.6275
1.0261,10.7515
1.02612,10.8766
1.02615,11.0028
1.02617,11.1302
1.02619,11.2588
1.02621,11.3885
1.02624,11.5195
1.02626,11.6516
1.02628,11.7849
1.0263,11.9194
1.02633,12.0552
1.02635,12.1922
1.02637,12.3303
1.02639,12.4698
1.02642,12.6104
1.02644,12.7524
1.02646,12.8956
1.02649,13.04
1.02651,13.1858
1.02653,13.3328
1.02655,13.4811
1.02658,13.6307
1.0266,13.7816
1.02662,13.9339
1.02664,14.0874
1.02667,14.2423
1.02669,14.3986
1.02671,14.5562
1.02673,14.7151
1.02676,14.8754
1.02678,15.0371
1.0268,15.2002
1.02683,15.3646
1.02685,15.5305
1.02687,15.6977
1.02689,15.8664
1.02692,16.0365
1.02694,16.208
1.02696,16.381
1.02698,16.5554
1.02701,16.7313
1.02703,16.9086
1.02705,17.0874
1.02707,17.2677
1.0271,17.4495
1.02712,17.6328
1.02714,17.8176
1.02717,18.0039
1.02719,18.1917
1.02721,18.3811
1.02723,18.5719
1.02726,18.7644
1.02728,18.9584
1.0273,19.1539
1.02732,19.3511
1.02735,19.5498
1.02737,19.7501
1.02739,19.952
1.02741,20.1555
1.02744,20.3607
1.02746,20.5674
1.02748,20.7758
1.02751,20.9858
1.02753,21.1975
1.02755,21.4108
1.02757,21.6258
1.0276,21.8425
1.02762,22.0608
1.02764,22.2809
1.02766,22.5026
1.02769,22.7261
1.02771,22.9512
1.02773,23.1781
1.02776,23.4068
1.02778,23.6371
1.0278,23.8693
1.02782,24.1031
1.02785,24.3388
1.02787,24.5762
1.02789,24.8154
1.02791,25.0564
1.02794,25.2992
1.02796,25.5438
1.02798,25.7902
1.028,26.0384
1.02803,26.2885
1.02805,26.5404
1.02807,26.7942
1.0281,27.0498
1.02812,27.3073
1.02814,27.5666
1.02816,27.8278
1.02819,28.091
1.02821,28.356
1.02823,28.6229
1.02825,28.8918
1.02828,29.1625
1.0283,29.4352
1.02832,29.7098
1.02834,29.9864
1.02837,30.2649
1.02839,30.5454
1.02841,30.8279
1.02844,31.1123
1.02846,31.3987
1.02848,31.6871
1.0285,31.9775
1.02853,32.2699
1.02855,32.5643
1.02857,32.8607
1.02859,33.1592
1.02862,33.4597
1.02864,33.7622
1.02866,34.0668
1.02868,34.3735
1.02871,34.6822
1.02873,34.9929
1.02875,35.3058
1.02878,35.6207
1.0288,35.9378
1.02882,36.2569
1.02884,36.5781
1.02887,36.9015
1.02889,37.2269
1.02891,37.5545
1.02893,37.8842
1.02896,38.2161
1.02898,38.5501
1.029,38.8862
1.02902,39.2245
1.02905,39.565
1.02907,39.9076
1.02909,40.2524
1.02912,40.5994
1.02914,40.9486
1.02916,41.3
1.02918,41.6535
1.02921,42.0093
1.02923,42.3673
1.02925,42.7274
1.02927,43.0898
1.0293,43.4545
1.02932,43.8213
1.02934,44.1904
1.02937,44.5617
1.02939,44.9353
1.02941,45.3111
1.02943,45.6891
1.02946,46.0695
1.02948,46.452
1.0295,46.8369
1.02952,47.224
1.02955,47.6133
1.02957,48.005
1.02959,48.3989
1.02961,48.7951
1.02964,49.1936
1.02966,49.5944
1.02968,49.9975
1.02971,50.4029
1.02973,50.8105
1.02975,51.2205
1.02977,51.6328
1.0298,52.0473
1.02982,52.4642
1.02984,52.8834
1.02986,53.3049
1.02989,53.7287
1.02991,54.1548
1.02993,54.5833
1.02995,55.014
1.02998,55.4471
1.03,55.8825
1.03002,56.3202
1.03005,56.7603
1.03007,57.2026
1.03009,57.6473
1.03011,58.0943
1.03014,58.5436
1.03016,58.9953
1.03018,59.4492
1.0302,59.9055
1.03023,60.3641
1.03025,60.825
1.03027,61.2882
1.03029,61.7538
1.03032,62.2216
1.03034,62.6918
1.03036,63.1643
1.03039,63.639
1.03041,64.1161
1.03043,64.5955
1.03045,65.0772
1.03048,65.5612
1.0305,66.0474
1.03052,66.536
1.03054,67.0268
1.03057,67.5199
1.03059,68.0153
1.03061,68.513
1.03063,69.0129
1.03066,69.5151
1.03068,70.0195
1.0307,70.5262
1.03073,71.0351
1.03075,71.5462
1.03077,72.0596
1.03079,72.5752
1.03082,73.0931
1.03084,73.6131
1.03086,74.1353
1.03088,74.6598
1.03091,75.1864
1.03093,75.7151
1.03095,76.2461
1.03098,76.7792
1.031,77.3145
1.03102,77.8519
1.03104,78.3914
1.03107,78.933
1.03109,79.4768
1.03111,80.0226
1.03113,80.5706
1.03116,81.1206
1.03118,81.6726
1.0312,82.2268
1.03122,82.7829
1.03125,83.3411
1.03127,83.9013
1.03129,84.4635
1.03132,85.0276
1.03134,85.5938
1.03136,86.1619
1.03138,86.7319
1.03141,87.3039
1.03143,87.8777
1.03145,88.4535
1.03147,89.0311
1.0315,89.6106
1.03152,90.192
1.03154,90.7751
1.03156,91.3601
1.03159,91.9468
1.03161,92.5354
1.03163,93.1256
1.03166,93.7176
1.03168,94.3114
1.0317,94.9068
1.03172,95.5038
1.03175,96.1026
1.03177,96.7029
1.03179,97.3048
1.03181,97.9084
1.03184,98.5135
1.03186,99.1201
1.03188,99.7282
1.0319,100.338
1.03193,100.949
1.03195,101.561
1.03197,102.175
1.032,102.791
1.03202,103.407
1.03204,104.025
1.03206,104.645
1.03209,105.265
1.03211,105.887
1.03213,106.51
1.03215,107.135
1.03218,107.76
1.0322,108.387
1.03222,109.014
1.03224,109.643
1.03227,110.273
1.03229,110.903
1.03231,111.535
1.03234,112.168
1.03236,112.802
1.03238,113.436
1.0324,114.071
1.03243,114.707
1.03245,115.344
1.03247,115.982
1.03249,116.62
1.03252,117.259
1.03254,117.899
1.03256,118.539
1.03259,119.18
1.03261,119.821
1.03263,120.463
1.03265,121.105
1.03268,121.747
1.0327,122.39
1.03272,123.033
1.03274,123.677
1.03277,124.32
1.03279,124.964
1.03281,125.608
1.03283,126.252
1.03286,126.896
1.03288,127.54
1.0329,128.184
1.03293,128.828
1.03295,129.472
1.03297,130.116
1.03299,130.759
1.03302,131.402
1.03304,132.045
1.03306,132.687
1.03308,133.329
1.03311,133.97
1.03313,134.611
1.03315,135.252
1.03317,135.891
1.0332,136.53
1.03322,137.168
1.03324,137.806
1.03327,138.442
1.03329,139.078
1.03331,139.712
1.03333,140.346
1.03336,140.979
1.03338,141.61
1.0334,142.24
1.03342,142.869
1.03345,143.497
1.03347,144.123
1.03349,144.748
1.03351,145.371
1.03354,145.993
1.03356,146.613
1.03358,147.231
1.03361,147.848
1.03363,148.463
1.03365,149.076
1.03367,149.687
1.0337,150.296
1.03372,150.903
1.03374,151.508
1.03376,152.111
1.03379,152.711
1.03381,153.309
1.03383,153.905
1.03385,154.498
1.03388,155.089
1.0339,155.677
1.03392,156.262
1.03395,156.845
1.03397,157.425
1.03399,158.002
1.03401,158.576
1.03404,159.146
1.03406,159.714
1.03408,160.279
1.0341,160.84
1.03413,161.398
1.03415,161.953
1.03417,162.504
1.0342,163.052
1.03422,163.596
1.03424,164.136
1.03426,164.673
1.03429,165.205
1.03431,165.734
1.03433,166.259
1.03435,166.78
1.03438,167.296
1.0344,167.808
1.03442,168.316
1.03444,168.82
1.03447,169.319
1.03449,169.813
1.03451,170.303
1.03454,170.788
1.03456,171.269
1.03458,171.744
1.0346,172.215
1.03463,172.68
1.03465,173.14
1.03467,173.595
1.03469,174.045
1.03472,174.49
1.03474,174.929
1.03476,175.362
1.03478,175.79
1.03481,176.212
1.03483,176.628
1.03485,177.039
1.03488,177.443
1.0349,177.842
1.03492,178.234
1.03494,178.621
1.03497,179.0
1.03499,179.374
1.03501,179.741
1.03503,180.102
1.03506,180.456
1.03508,180.803
1.0351,181.143
1.03512,181.477
1.03515,181.803
1.03517,182.123
1.03519,182.436
1.03522,182.741
1.03524,183.039
1.03526,183.33
1.03528,183.613
