schema_version,source_dataset,velocity,analysis_window,window_start_s,window_end_s,partial_index,pitch_lo_midi,pitch_hi_midi,f0_lo_hz,f0_hi_hz,db_c0,db_c1,db_c2,db_c3,energy_rel_fund_db_lo,energy_rel_fund_db_hi,energy_ratio_to_fund_lo,energy_ratio_to_fund_hi,amplitude_ratio_to_fund_lo,amplitude_ratio_to_fund_hi,source_observation_count,max_support_distance_semitones,anchor_status,smoothing_lambda,partial_cv_rmse_db,slice_cv_weighted_rmse_db,interpolation_status
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,77,78,698.456462866008,739.988845423269,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,78,79,739.988845423269,783.990871963499,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,79,80,783.990871963499,830.60939515989,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,80,81,830.60939515989,880,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,81,82,880,932.32752303618,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,82,83,932.32752303618,987.766602512248,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,83,84,987.766602512248,1046.50226120239,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,84,85,1046.50226120239,1108.73052390749,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,85,86,1108.73052390749,1174.65907166963,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,86,87,1174.65907166963,1244.50793488832,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,87,88,1244.50793488832,1318.51022765148,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,88,89,1318.51022765148,1396.91292573202,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,89,90,1396.91292573202,1479.97769084654,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,90,91,1479.97769084654,1567.981743927,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,91,92,1567.981743927,1661.21879031978,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,92,93,1661.21879031978,1760,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,93,94,1760,1864.65504607236,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,94,95,1864.65504607236,1975.5332050245,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,95,96,1975.5332050245,2093.00452240479,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,96,97,2093.00452240479,2217.46104781498,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,97,98,2217.46104781498,2349.31814333926,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
