Time: 0.0035827664399093, F: 9.30557453930527
Time: 0.00360544217687075, F: 9.16196855731471
Time: 0.0036281179138322, F: 9.01979703857958
Time: 0.00365079365079365, F: 8.87905150586924
Time: 0.0036734693877551, F: 8.73972278562337
Time: 0.00369614512471655, F: 8.60180197826005
Time: 0.003718820861678, F: 8.4652797711078
Time: 0.00374149659863946, F: 8.33017906139322
Time: 0.00376417233560091, F: 8.19606464592095
Time: 0.00378684807256236, F: 8.06296109674613
Time: 0.00380952380952381, F: 7.94528065606581
Time: 0.00383219954648526, F: 7.82223335211811
Time: 0.00385487528344671, F: 7.58660223670207
Time: 0.00387755102040816, F: 7.39205198952082
Time: 0.00390022675736961, F: 7.96549790644106
Time: 0.00392290249433107, F: 10.1962197217888
Time: 0.00394557823129252, F: 14.1983756721674
Time: 0.00396825396825397, F: 18.504869432511
Time: 0.00399092970521542, F: 21.0821073097661
Time: 0.00401360544217687, F: 21.6469119844513
Time: 0.00403628117913832, F: 21.3338367050144
Time: 0.00405895691609977, F: 20.8955949430937
Time: 0.00408163265306122, F: 20.4550175982549
Time: 0.00410430839002268, F: 19.9874167429788
Time: 0.00412698412698413, F: 19.5035188267792
Time: 0.00414965986394558, F: 19.0212239228099
Time: 0.00417233560090703, F: 18.5450325042137
Time: 0.00419501133786848, F: 18.0738339426674
Time: 0.00421768707482993, F: 17.6071715208626
Time: 0.00424036281179138, F: 17.1453378270232
Time: 0.00426303854875283, F: 16.6885371707032
Time: 0.00428571428571429, F: 16.2368254561149
Time: 0.00430839002267574, F: 15.7902463663523
Time: 0.00433106575963719, F: 15.3488517695682
Time: 0.00435374149659864, F: 14.9126838693057
Time: 0.00437641723356009, F: 14.4817803393109
Time: 0.00439909297052154, F: 14.0561687631175
Time: 0.00442176870748299, F: 13.6358697946751
Time: 0.00444444444444444, F: 13.2208980436653
Time: 0.0044671201814059, F: 12.8112704685102
Time: 0.00448979591836735, F: 12.4069887386442
Time: 0.0045124716553288, F: 12.0080551559238
Time: 0.00453514739229025, F: 11.6144670881173
Time: 0.0045578231292517, F: 11.2262206725262
Time: 0.00458049886621315, F: 10.8433091739076
Time: 0.0046031746031746, F: 10.4657200404396
Time: 0.00462585034013605, F: 10.0934392684267
Time: 0.00464852607709751, F: 9.72645247990894
Time: 0.00467120181405896, F: 9.36473768954796
Time: 0.00469387755102041, F: 9.0082804334381
Time: 0.00471655328798186, F: 8.6570571139669
Time: 0.00473922902494331, F: 8.31104392469625
Time: 0.00476190476190476, F: 7.97021848701324
Time: 0.00478458049886621, F: 7.6345549661766
Time: 0.00480725623582766, F: 7.30402694982991
Time: 0.00482993197278912, F: 6.97860963919081
Time: 0.00485260770975057, F: 6.65827397170344
Time: 0.00487528344671202, F: 6.34299137191221
Time: 0.00489795918367347, F: 6.03273464578707
Time: 0.00492063492063492, F: 5.72747505448286
Time: 0.00494331065759637, F: 5.4271830860882
Time: 0.00496598639455782, F: 5.13183245676382
Time: 0.00498866213151927, F: 4.84139372660588
Time: 0.00501133786848073, F: 4.55583896718823
Time: 0.00503401360544218, F: 4.27513940256333
Time: 0.00505668934240363, F: 3.99927025202273
Time: 0.00507936507936508, F: 3.7282061157103
Time: 0.00510204081632653, F: 3.46192035157574
Time: 0.00512471655328798, F: 3.20038969483986
Time: 0.00514739229024943, F: 2.94359171654583
Time: 0.00517006802721088, F: 2.6915058690606
Time: 0.00519274376417234, F: 2.44411219964858
Time: 0.00521541950113379, F: 2.20139736166261
Time: 0.00523809523809524, F: 1.96334509532321
Time: 0.00526077097505669, F: 1.72994352772344
Time: 0.00528344671201814, F: 1.50118487257879
Time: 0.00530612244897959, F: 1.27706426169998
Time: 0.00532879818594104, F: 1.05758175218862
Time: 0.00535147392290249, F: 0.842741546245432
Time: 0.00537414965986395, F: 0.632553195068611
Time: 0.0053968253968254, F: 0.427032590594881
Time: 0.00541950113378685, F: 0.226202606071486
Time: 0.0054421768707483, F: 0.0300958560648489
