schema_version,source_dataset,velocity,analysis_window,window_start_s,window_end_s,midi,note,f0_hz,inharmonicity_B,partial_index,partial_frequency_hz,energy_rel_peak_db,energy_rel_fund_db,energy_ratio_to_fund,amplitude_ratio_to_fund,contrast_db,group_partial_count,group_max_partial_index,group_max_partial_frequency_hz,measurement_status
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,1,32.2998046875,-26.0735781693377,0,1,1,46.7596031951143,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,2,65.2725219726563,-4.21975955152123,21.8538186178164,153.243429182641,12.3791530074816,62.3191403058987,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,3,97.5723266601563,-2.22150820381043,23.8520699655272,242.776695907526,15.5812931397726,59.8758044622272,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,4,129.872131347656,0,26.0735781693377,404.909360722074,20.1223597205217,62.1771340924266,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,5,162.844848632813,-14.7294676967279,11.3441104726097,13.6273386076738,3.69152253246189,55.2169492990296,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,6,195.144653320313,-2.83032717708672,23.243250992251,211.02071937551,14.5265522191437,64.1199029243267,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,7,228.117370605469,-19.6596535618253,6.41392460751237,4.37917661329645,2.09264822970714,54.7984629820656,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,8,261.090087890625,-30.2213587134556,-4.14778054411795,0.384788377368842,0.620313128483383,45.1064306501481,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,9,293.389892578125,-9.23533125373174,16.8382469156059,48.2863848618499,6.94884054082765,65.3127758429225,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,10,326.362609863281,-2.29910785183589,23.7744703175018,238.477292151546,15.4427100002411,65.8336579431884,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,11,359.335327148438,-15.6154409583375,10.4581372110002,11.1125498220444,3.33354913298791,58.988297340514,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,12,392.308044433594,-5.89284156896221,20.1807366003755,104.249423028666,10.2102606738842,64.9375539095615,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,13,425.28076171875,-9.31711945022284,16.7564587191148,47.3855441193091,6.88371586567234,63.8482187518053,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,14,458.926391601563,-9.99282352759922,16.0807546417385,40.5579003821186,6.36850848960089,61.5012530384914,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,15,492.572021484375,-23.3793331670835,2.69424500225415,1.85962124990473,1.36367930610709,46.9865975022561,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,16,526.217651367188,-29.1024427058204,-3.02886453648273,0.497867235421104,0.70559707724813,43.4520801409378,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,17,559.190368652344,-26.117145665226,-0.0435674958883077,0.990018363874705,0.994996665258083,47.0541758392391,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,18,593.508911132813,-19.6638515205263,6.40972664881141,4.37494567754778,2.09163708074507,57.8911880466675,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,19,627.154541015625,-16.7316603809956,9.34191778834203,8.59392934547935,2.93154043899779,59.419972768447,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,20,661.473083496094,-17.7790573502657,8.29452081907197,6.75230547994034,2.59851986329532,49.6677909158505,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,21,695.791625976563,-27.3629358583848,-1.28935768904714,0.743129036742782,0.862049323845673,38.704213817527,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,22,730.110168457031,-6.01070733403898,20.0628708352987,101.458183746689,10.0726453202071,62.2583628065883,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,23,765.101623535156,-11.4607888581749,14.6127893111628,28.9253705436236,5.37823117238592,61.6999305036519,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,24,800.093078613281,-41.1712095487395,-15.0976313794019,0.0309198132403607,0.175840306074463,29.024258250477,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,25,835.084533691406,-38.8001398232383,-12.7265616539006,0.0533757308421499,0.231031882739482,20.9372650423027,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,26,870.748901367188,-21.4314746821299,4.64210348720776,2.9121272532305,1.70649560598043,45.0240883082347,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,27,917.179870605469,-44.2099241534058,-18.1363459840681,0.0153590870415254,0.123931783822898,23.9604960131149,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,28,952.171325683594,-36.9862334098727,-10.912655240535,0.0810465394509479,0.284686739155423,27.9969190956885,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,29,979.7607421875,-28.235258833559,-2.16168066422131,0.607899706325109,0.779679232970271,33.4458908029226,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,33,1136.54937744141,-62.5559527666591,-36.4823745973214,0.000224782522358749,0.0149927489927214,286.211716966829,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,34,1168.84918212891,-64.4123161187435,-38.3387379494058,0.00014659737879506,0.0121077404496074,284.13465765976,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,35,1219.99053955078,-58.2251194145605,-32.1515412452228,0.000609320620222547,0.0246844205972623,290.760145906334,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,36,1253.63616943359,-57.8444575222777,-31.77087935294,0.000665138466329266,0.0257902785236853,290.589634882772,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,37,1288.62762451172,-65.2672096158522,-39.1936314465145,0.000120402874486169,0.010972824362313,285.737967410871,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,38,1329.00238037109,-65.3687698738194,-39.2951917044817,0.00011761990642441,0.0108452711549509,283.892575107241,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,39,1368.03131103516,-72.0493285206049,-45.9757503512672,0.0000252595125179648,0.00502588425234453,277.903465938454,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,40,1416.48101806641,-70.2105447333223,-44.1369665639846,0.0000385747698504438,0.00621085902677269,278.364099020641,45,48,1753.61022949219,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,24,C1,32.42900390625,0.000116192460883739,41,1460.22033691406,-44.9942831061891,-18.9207049368514,0.0128212245458612,0.113230846264881,305.17765264355,45,48,1753.61022949219,measured
