Time: 1.03086, F: 74.1353
Time: 1.03088, F: 74.6598
Time: 1.03091, F: 75.1864
Time: 1.03093, F: 75.7151
Time: 1.03095, F: 76.2461
Time: 1.03098, F: 76.7792
Time: 1.031, F: 77.3145
Time: 1.03102, F: 77.8519
Time: 1.03104, F: 78.3914
Time: 1.03107, F: 78.933
Time: 1.03109, F: 79.4768
Time: 1.03111, F: 80.0226
Time: 1.03113, F: 80.5706
Time: 1.03116, F: 81.1206
Time: 1.03118, F: 81.6726
Time: 1.0312, F: 82.2268
Time: 1.03122, F: 82.7829
Time: 1.03125, F: 83.3411
Time: 1.03127, F: 83.9013
Time: 1.03129, F: 84.4635
Time: 1.03132, F: 85.0276
Time: 1.03134, F: 85.5938
Time: 1.03136, F: 86.1619
Time: 1.03138, F: 86.7319
Time: 1.03141, F: 87.3039
Time: 1.03143, F: 87.8777
Time: 1.03145, F: 88.4535
Time: 1.03147, F: 89.0311
Time: 1.0315, F: 89.6106
Time: 1.03152, F: 90.192
Time: 1.03154, F: 90.7751
Time: 1.03156, F: 91.3601
Time: 1.03159, F: 91.9468
Time: 1.03161, F: 92.5354
Time: 1.03163, F: 93.1256
Time: 1.03166, F: 93.7176
Time: 1.03168, F: 94.3114
Time: 1.0317, F: 94.9068
Time: 1.03172, F: 95.5038
Time: 1.03175, F: 96.1026
Time: 1.03177, F: 96.7029
Time: 1.03179, F: 97.3048
Time: 1.03181, F: 97.9084
Time: 1.03184, F: 98.5135
Time: 1.03186, F: 99.1201
Time: 1.03188, F: 99.7282
Time: 1.0319, F: 100.338
Time: 1.03193, F: 100.949
Time: 1.03195, F: 101.561
Time: 1.03197, F: 102.175
Time: 1.032, F: 102.791
Time: 1.03202, F: 103.407
Time: 1.03204, F: 104.025
Time: 1.03206, F: 104.645
Time: 1.03209, F: 105.265
Time: 1.03211, F: 105.887
Time: 1.03213, F: 106.51
Time: 1.03215, F: 107.135
Time: 1.03218, F: 107.76
Time: 1.0322, F: 108.387
Time: 1.03222, F: 109.014
Time: 1.03224, F: 109.643
Time: 1.03227, F: 110.273
Time: 1.03229, F: 110.903
Time: 1.03231, F: 111.535
Time: 1.03234, F: 112.168
Time: 1.03236, F: 112.802
Time: 1.03238, F: 113.436
Time: 1.0324, F: 114.071
Time: 1.03243, F: 114.707
Time: 1.03245, F: 115.344
Time: 1.03247, F: 115.982
Time: 1.03249, F: 116.62
Time: 1.03252, F: 117.259
Time: 1.03254, F: 117.899
Time: 1.03256, F: 118.539
Time: 1.03259, F: 119.18
Time: 1.03261, F: 119.821
Time: 1.03263, F: 120.463
Time: 1.03265, F: 121.105
Time: 1.03268, F: 121.747
Time: 1.0327, F: 122.39
Time: 1.03272, F: 123.033
Time: 1.03274, F: 123.677
Time: 1.03277, F: 124.32
Time: 1.03279, F: 124.964
Time: 1.03281, F: 125.608
Time: 1.03283, F: 126.252
Time: 1.03286, F: 126.896
Time: 1.03288, F: 127.54
Time: 1.0329, F: 128.184
Time: 1.03293, F: 128.828
Time: 1.03295, F: 129.472
Time: 1.03297, F: 130.116
Time: 1.03299, F: 130.759
Time: 1.03302, F: 131.402
Time: 1.03304, F: 132.045
Time: 1.03306, F: 132.687
Time: 1.03308, F: 133.329
Time: 1.03311, F: 133.97
Time: 1.03313, F: 134.611
Time: 1.03315, F: 135.252
Time: 1.03317, F: 135.891
Time: 1.0332, F: 136.53
Time: 1.03322, F: 137.168
Time: 1.03324, F: 137.806
Time: 1.03327, F: 138.442
Time: 1.03329, F: 139.078
Time: 1.03331, F: 139.712
Time: 1.03333, F: 140.346
Time: 1.03336, F: 140.979
Time: 1.03338, F: 141.61
Time: 1.0334, F: 142.24
Time: 1.03342, F: 142.869
Time: 1.03345, F: 143.497
Time: 1.03347, F: 144.123
Time: 1.03349, F: 144.748
Time: 1.03351, F: 145.371
Time: 1.03354, F: 145.993
Time: 1.03356, F: 146.613
Time: 1.03358, F: 147.231
Time: 1.03361, F: 147.848
Time: 1.03363, F: 148.463
Time: 1.03365, F: 149.076
Time: 1.03367, F: 149.687
Time: 1.0337, F: 150.296
Time: 1.03372, F: 150.903
Time: 1.03374, F: 151.508
Time: 1.03376, F: 152.111
Time: 1.03379, F: 152.711
Time: 1.03381, F: 153.309
Time: 1.03383, F: 153.905
Time: 1.03385, F: 154.498
Time: 1.03388, F: 155.089
Time: 1.0339, F: 155.677
Time: 1.03392, F: 156.262
Time: 1.03395, F: 156.845
Time: 1.03397, F: 157.425
Time: 1.03399, F: 158.002
Time: 1.03401, F: 158.576
Time: 1.03404, F: 159.146
Time: 1.03406, F: 159.714
Time: 1.03408, F: 160.279
Time: 1.0341, F: 160.84
Time: 1.03413, F: 161.398
Time: 1.03415, F: 161.953
Time: 1.03417, F: 162.504
Time: 1.0342, F: 163.052
Time: 1.03422, F: 163.596
Time: 1.03424, F: 164.136
Time: 1.03426, F: 164.673
Time: 1.03429, F: 165.205
Time: 1.03431, F: 165.734
Time: 1.03433, F: 166.259
Time: 1.03435, F: 166.78
